20	5.8
35	6.5
40	8.0406
45	8.0412
50	8.0418
60	8.0429
70	8.0441
80	8.0453
90	8.0465
100	8.0476
110	8.0488
120	8.05
130	8.0778
140	8.1056
150	8.1333
160	8.1611
170	8.1889
180	8.2167
190	8.2444
200	8.2722
210	8.3
220	8.3365
230	8.373
240	8.4095
250	8.446
260	8.4825
270	8.519
280	8.5555
290	8.592
300	8.6285
310	8.665
320	8.7015
330	8.738
340	8.7745
350	8.811
360	8.8475
370	8.884
380	8.9205
390	8.957
400	8.9935
410	9.03
420	9.3936
430	9.4272
440	9.4608
450	9.4944
460	9.528
470	9.5616
480	9.5952
490	9.6288
500	9.6624
510	9.696
520	9.7296
530	9.7632
540	9.7968
550	9.8304
560	9.864
570	9.8976
580	9.9312
590	9.9648
600	9.9984
610	10.032
620	10.0656
630	10.0992
640	10.1328
650	10.1664
660	10.2
670	10.8166
680	10.8432
690	10.8697
700	10.8963
710	10.9229
720	10.9495
730	10.9761
740	11.0026
750	11.0292
760	11.0558
770	11.0738
780	11.0917
790	11.1095
800	11.1272
900	11.2997
1000	11.464
1100	11.6208
1200	11.7707
1300	11.9142
1400	12.0521
1500	12.1849
2000	12.7944
2500	13.3697
2700	13.6076
2740	13.6564
2750	13.6587
2800	13.6703
2850	13.6818
2889	13.6908
2900	8.028
3000	8.1995
3100	8.3642
3200	8.5222
3300	8.6735
3400	8.818
3500	8.9558
4000	9.5437
4500	9.9633
5153.9	10.2578
5500	11.1644
6000	11.227
6371	11.2409
